Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Parameter Usage,FLOPs
1,15.86,4,"9,4",0.4469157343279102,0.5530842656720898,2.1,55360,2810100000
2,13.719999999999999,8,"6,8",0.47563676279973666,0.5243632372002633,4.18,110720,5620200000
3,20.119999999999997,12,"2,1",0.4538298101426526,0.5461701898573473,6.24,166080,8430300000
4,17.080000000000002,16,"6,4",0.36318188910023647,0.6368181108997635,8.3,221440,11240400000
5,11.59,20,"7,2",0.4509174032011361,0.549082596798864,10.38,276800,14050500000
6,10.32,24,"8,2",0.5755977101757248,0.4244022898242752,12.46,332160,16860600000
7,12.370000000000001,28,"6,3",0.39611326464977004,0.60388673535023,14.55,387520,19670700000
8,16.38,32,"3,4",0.3627793064363774,0.6372206935636225,16.62,442880,22480800000
9,9.82,36,"4,9",0.3542516811727199,0.6457483188272801,18.71,498240,25290900000
10,20.68,40,"6,1",0.4185268181282944,0.5814731818717056,20.79,553600,28101000000
11,13.3,44,"1,8",0.21655392447339455,0.7834460755266055,22.86,608960,30911100000
12,10.08,48,"8,0",0.4138046820497717,0.5861953179502283,24.95,664320,33721200000
13,13.23,52,"9,7",0.32024395505312125,0.6797560449468788,27.09,719680,36531300000
14,15.75,56,"8,0",0.5101075749409897,0.4898924250590103,29.16,775040,39341400000
15,11.540000000000001,60,"3,8",0.2790410906299072,0.7209589093700928,31.22,830400,42151500000
16,20.36,64,"3,1",0.32871823248269516,0.6712817675173048,33.37,885760,44961600000
17,10.100000000000001,68,"5,3",0.3411933300233991,0.6588066699766009,35.43,941120,47771700000
18,18.78,72,"3,7",0.4778778636217738,0.5221221363782262,37.52,996480,50581800000
19,20.52,76,"6,4",0.479221714914876,0.520778285085124,39.59,1051840,53391900000
20,19.35,80,"3,7",0.40736096902573765,0.5926390309742623,41.66,1107200,56202000000
21,8.93,84,"5,2",0.5337157511260889,0.46628424887391107,43.75,1162560,59012100000
22,19.25,88,"7,3",0.3224903823732087,0.6775096176267913,45.82,1217920,61822200000
23,18.68,92,"6,8",0.4375225399322049,0.5624774600677951,47.89,1273280,64632300000
24,17.560000000000002,96,"3,0",0.4133549336596091,0.5866450663403909,49.97,1328640,67442400000
25,18.35,100,"2,9",0.4075588402487936,0.5924411597512065,52.05,1384000,70252500000
26,14.67,104,"3,5",0.3815397056637782,0.6184602943362217,54.15,1439360,73062600000
27,17.36,108,"9,4",0.4950496293892866,0.5049503706107134,56.21,1494720,75872700000
28,18.87,112,"5,1",0.5479585423448692,0.4520414576551308,58.29,1550080,78682800000
29,22.1,116,"4,3",0.2088627793694551,0.7911372206305449,60.36,1605440,81492900000
30,33.75,120,"6,7",0.4205699473082102,0.5794300526917898,62.43,1660800,84303000000
31,23.39,124,"0,8",0.3108948288406844,0.6891051711593156,64.51,1716160,87113100000
32,19.78,128,"1,5",0.41324512779664313,0.5867548722033569,66.58,1771520,89923200000
33,15.620000000000001,132,"5,3",0.4982496817592779,0.501750318240722,68.66,1826880,92733300000
34,35.49,136,"4,9",0.4152096533645884,0.5847903466354115,70.74,1882240,95543400000
35,17.84,140,"4,5",0.4459728208609284,0.5540271791390716,72.82,1937600,98353500000
36,19.07,144,"0,4",0.44424472308947555,0.5557552769105245,74.91,1992960,101163600000
37,17.330000000000002,148,"9,5",0.5376456360378584,0.4623543639621415,77.0,2048320,103973700000
38,23.66,152,"1,9",0.4344085359495249,0.5655914640504751,79.07,2103680,106783800000
39,22.63,156,"5,4",0.4965491383543821,0.5034508616456179,81.14,2159040,109593900000
40,27.150000000000002,160,"4,3",0.6700304887645716,0.32996951123542845,83.21,2214400,112404000000
41,36.49,164,"4,9",0.5117118564747506,0.4882881435252494,85.28,2269760,115214100000
42,12.65,168,"5,8",0.6515962611688054,0.34840373883119463,87.33,2325120,118024200000
43,23.04,172,"7,9",0.5337108357623807,0.46628916423761935,89.4,2380480,120834300000
44,35.56,176,"0,3",0.6146917285843506,0.38530827141564944,91.47,2435840,123644400000
45,22.38,180,"5,1",0.5069292463727574,0.49307075362724256,93.54,2491200,126454500000
46,30.7,184,"7,0",0.46939867886165937,0.5306013211383407,95.62,2546560,129264600000
47,30.259999999999998,188,"9,1",0.40449275972833626,0.5955072402716638,97.68,2601920,132074700000
48,27.97,192,"0,1",0.35358033456664145,0.6464196654333586,99.76,2657280,134884800000
49,30.659999999999997,196,"9,0",0.31976976330385204,0.680230236696148,101.85,2712640,137694900000
50,36.65,200,"1,8",0.28867894499042707,0.7113210550095729,103.92,2768000,140505000000
51,30.72,204,"1,4",0.4837690192655616,0.5162309807344384,105.99,2823360,143315100000
52,31.44,208,"7,1",0.39588756524273455,0.6041124347572655,108.07,2878720,146125200000
53,31.39,212,"9,8",0.43425589690237604,0.565744103097624,110.15,2934080,148935300000
54,28.810000000000002,216,"0,9",0.4494481325583524,0.5505518674416476,112.23,2989440,151745400000
55,39.550000000000004,220,"3,1",0.649963518170704,0.3500364818292961,114.31,3044800,154555500000
56,34.89,224,"9,1",0.5593879785556095,0.44061202144439043,116.4,3100160,157365600000
57,35.28,228,"8,9",0.6664427092934122,0.3335572907065878,118.47,3155520,160175700000
58,31.900000000000002,232,"2,8",0.5089712213539809,0.4910287786460192,120.55,3210880,162985800000
59,39.76,236,"6,0",0.29227859843027487,0.7077214015697251,122.6,3266240,165795900000
60,30.8,240,"4,8",0.4646189899238099,0.5353810100761901,124.68,3321600,168606000000
61,32.56,244,"5,3",0.5279176298613845,0.47208237013861554,126.76,3376960,171416100000
62,35.63,248,"0,9",0.5662281772871264,0.4337718227128737,128.84,3432320,174226200000
63,32.879999999999995,252,"3,6",0.5819485849305673,0.41805141506943266,130.91,3487680,177036300000
64,22.42,256,"5,9",0.39262043998445323,0.6073795600155468,132.97,3543040,179846400000
65,26.590000000000003,260,"1,5",0.32193661313472927,0.6780633868652707,135.09,3598400,182656500000
66,33.96,264,"0,4",0.5306374432505624,0.4693625567494376,137.17,3653760,185466600000
67,37.31,268,"8,4",0.5110872778911131,0.4889127221088869,139.26,3709120,188276700000
68,29.599999999999998,272,"8,4",0.3383920631235811,0.6616079368764188,141.34,3764480,191086800000
69,33.18,276,"5,6",0.5924345974559223,0.4075654025440777,143.41,3819840,193896900000
70,18.48,280,"5,4",0.6576479017802996,0.34235209821970036,145.49,3875200,196707000000
71,32.800000000000004,284,"3,4",0.43545192121028486,0.5645480787897151,147.57,3930560,199517100000
72,36.559999999999995,288,"7,3",0.4071171323794738,0.5928828676205262,149.65,3985920,202327200000
73,41.58,292,"4,7",0.2302891403674279,0.7697108596325721,151.72,4041280,205137300000
74,42.480000000000004,296,"0,9",0.2981002682706501,0.7018997317293499,153.8,4096640,207947400000
75,39.95,300,"7,1",0.30266834926654007,0.6973316507334599,155.88,4152000,210757500000
76,50.31,304,"3,8",0.4275111687730338,0.5724888312269663,157.94,4207360,213567600000
77,48.71,308,"2,4",0.5240737402637486,0.47592625973625136,160.03,4262720,216377700000
78,43.3,312,"4,0",0.4273800564722595,0.5726199435277405,162.09,4318080,219187800000
79,47.18,316,"3,6",0.4654696388998402,0.5345303611001597,164.17,4373440,221997900000
80,42.72,320,"9,6",0.49772529211014244,0.5022747078898576,166.25,4428800,224808000000
81,46.25,324,"0,1",0.5518169672533214,0.44818303274667853,168.34,4484160,227618100000
82,45.23,328,"8,4",0.35212750446601154,0.6478724955339885,170.42,4539520,230428200000
83,52.68000000000001,332,"6,7",0.374941846634033,0.6250581533659669,172.5,4594880,233238300000
84,42.75,336,"8,4",0.3575145905627733,0.6424854094372267,174.56,4650240,236048400000
85,32.519999999999996,340,"4,8",0.4392697243104335,0.5607302756895665,176.63,4705600,238858500000
86,43.76,344,"2,8",0.4768616796103326,0.5231383203896675,178.71,4760960,241668600000
87,49.79,348,"3,6",0.2734698951256751,0.7265301048743249,180.78,4816320,244478700000
88,49.5,352,"1,9",0.3724215868647906,0.6275784131352095,182.85,4871680,247288800000
89,47.760000000000005,356,"3,1",0.4992937700539055,0.5007062299460945,184.92,4927040,250098900000
90,48.93,360,"5,4",0.4728232784977866,0.5271767215022134,187.01,4982400,252909000000
91,34.23,364,"6,5",0.3193284331017096,0.6806715668982904,189.08,5037760,255719100000
92,47.64,368,"8,5",0.26164752206246356,0.7383524779375364,191.15,5093120,258529200000
93,50.74999999999999,372,"0,6",0.6293747505046464,0.37062524949535364,193.23,5148480,261339300000
94,45.16,376,"6,9",0.5081785196036238,0.4918214803963762,195.32,5203840,264149400000
95,42.94,380,"6,1",0.4299870888942857,0.5700129111057143,197.4,5259200,266959500000
96,49.419999999999995,384,"3,7",0.6739099681472338,0.32609003185276614,199.48,5314560,269769600000
97,46.62,388,"0,9",0.6229033375160565,0.3770966624839434,201.55,5369920,272579700000
98,47.8,392,"5,3",0.6043428358428872,0.39565716415711283,203.63,5425280,275389800000
99,31.72,396,"4,5",0.5900021593984524,0.40999784060154765,205.69,5480640,278199900000
100,44.57,400,"9,8",0.31867205827654216,0.6813279417234578,207.77,5536000,281010000000
101,42.29,404,"9,0",0.3575306216934061,0.6424693783065939,209.84,5591360,283820100000
102,34.06,408,"8,9",0.5898752810764102,0.4101247189235898,211.93,5646720,286630200000
103,46.93,412,"8,2",0.32478295679045766,0.6752170432095423,213.99,5702080,289440300000
104,31.669999999999998,416,"8,2",0.6274812038406615,0.37251879615933847,216.07,5757440,292250400000
105,46.31,420,"3,7",0.3759460316150234,0.6240539683849766,218.12,5812800,295060500000
106,35.27,424,"5,7",0.3889172458840341,0.6110827541159659,220.2,5868160,297870600000
107,47.63,428,"9,0",0.3940953367612373,0.6059046632387627,222.28,5923520,300680700000
108,32.25,432,"4,5",0.5548280296319223,0.4451719703680776,224.36,5978880,303490800000
109,37.21,436,"3,4",0.6005232095456181,0.39947679045438195,226.44,6034240,306300900000
110,39.77,440,"8,0",0.41926360471657675,0.5807363952834232,228.52,6089600,309111000000
111,30.220000000000002,444,"5,9",0.32982660092779464,0.6701733990722053,230.59,6144960,311921100000
112,39.76,448,"8,6",0.38964275749555616,0.6103572425044439,232.66,6200320,314731200000
113,44.65,452,"3,2",0.3929187589255318,0.6070812410744681,234.74,6255680,317541300000
114,37.72,456,"4,3",0.6360031119402524,0.3639968880597476,236.82,6311040,320351400000
