Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,18.11,4,"0,3",0.345012502501004,0.654987497498996
2,19.02,8,"0,3",0.345012502501004,0.654987497498996
3,11.15,12,"8,0",0.5219713116419795,0.4780286883580205
4,18.93,16,"8,0",0.5219713116419795,0.4780286883580205
5,24.55,20,"2,9",0.4741154800440744,0.5258845199559256
6,19.46,24,"2,9",0.4741154800440744,0.5258845199559256
7,16.82,28,"4,5",0.35276489274636413,0.6472351072536359
8,17.57,32,"4,5",0.35276489274636413,0.6472351072536359
9,17.48,36,"6,7",0.3284467421379474,0.6715532578620527
10,18.59,40,"6,7",0.3284467421379474,0.6715532578620527
11,18.17,44,"1,3",0.3146843975346196,0.6853156024653805
12,18.83,48,"1,3",0.3146843975346196,0.6853156024653805
13,10.15,52,"3,8",0.5824685499546816,0.41753145004531844
14,17.79,56,"3,8",0.5824685499546816,0.41753145004531844
15,17.09,60,"3,8",0.7125968322976064,0.2874031677023936
16,17.4,64,"3,8",0.7125968322976064,0.2874031677023936
17,17.419999999999998,68,"8,3",0.6751366248690129,0.32486337513098706
18,17.5,72,"8,3",0.6751366248690129,0.32486337513098706
19,17.62,76,"8,3",0.645400601482683,0.354599398517317
20,17.66,80,"8,3",0.645400601482683,0.354599398517317
21,17.75,84,"8,3",0.6240439467906981,0.37595605320930187
22,17.76,88,"8,3",0.6240439467906981,0.37595605320930187
23,23.35,92,"0,2",0.6240439467906981,0.37595605320930187
24,19.439999999999998,96,"0,2",0.6240439467906981,0.37595605320930187
25,19.2,100,"9,4",0.6240439467906981,0.37595605320930187
26,18.15,104,"9,4",0.6240439467906981,0.37595605320930187
27,16.919999999999998,108,"5,6",0.6240439467906981,0.37595605320930187
28,16.580000000000002,112,"5,6",0.6240439467906981,0.37595605320930187
29,20.5,116,"7,1",0.6240439467906981,0.37595605320930187
30,20.71,120,"7,1",0.6240439467906981,0.37595605320930187
31,29.99,124,"0,3",0.5142993117163941,0.4857006882836059
32,19.37,128,"0,3",0.5142993117163941,0.4857006882836059
33,21.72,132,"8,3",0.5200553556524753,0.47994464434752465
34,23.73,136,"8,3",0.5200553556524753,0.47994464434752465
35,21.33,140,"3,8",0.6074754690100578,0.3925245309899422
36,19.96,144,"3,8",0.6074754690100578,0.3925245309899422
37,19.99,148,"8,0",0.6150576006204106,0.38494239937958935
38,19.040000000000003,152,"8,0",0.6150576006204106,0.38494239937958935
39,20.9,156,"3,2",0.6371314295668622,0.3628685704331378
40,23.06,160,"3,2",0.6371314295668622,0.3628685704331378
41,21.01,164,"8,3",0.6718337083492236,0.3281662916507763
42,23.369999999999997,168,"8,3",0.6718337083492236,0.3281662916507763
43,21.92,172,"8,3",0.6293533339924625,0.37064666600753743
44,21.21,176,"8,3",0.6293533339924625,0.37064666600753743
45,31.81,180,"4,9",0.6293533339924625,0.37064666600753743
46,22.57,184,"4,9",0.6293533339924625,0.37064666600753743
47,18.47,188,"5,6",0.6293533339924625,0.37064666600753743
48,16.88,192,"5,6",0.6293533339924625,0.37064666600753743
49,27.400000000000002,196,"1,7",0.6293533339924625,0.37064666600753743
50,20.9,200,"1,7",0.6293533339924625,0.37064666600753743
51,26.1,204,"3,8",0.5384599552972343,0.46154004470276566
52,20.14,208,"3,8",0.5384599552972343,0.46154004470276566
53,28.54,212,"9,2",0.5178987991293693,0.4821012008706307
54,20.23,216,"9,2",0.5178987991293693,0.4821012008706307
55,19.28,220,"3,8",0.5205831666768708,0.47941683332312923
56,19.05,224,"3,8",0.5205831666768708,0.47941683332312923
57,28.110000000000003,228,"0,4",0.5205831666768708,0.47941683332312923
58,21.27,232,"0,4",0.5205831666768708,0.47941683332312923
59,26.779999999999998,236,"8,3",0.5166046260527035,0.4833953739472964
60,25.759999999999998,240,"8,3",0.5166046260527035,0.4833953739472964
61,35.53,244,"9,2",0.45602438597637274,0.5439756140236273
62,25.990000000000002,248,"9,2",0.45602438597637274,0.5439756140236273
63,28.46,252,"3,8",0.5012213405457491,0.4987786594542509
64,23.549999999999997,256,"3,8",0.5012213405457491,0.4987786594542509
65,31.680000000000003,260,"9,2",0.5144360406356229,0.4855639593643772
66,24.82,264,"9,2",0.5144360406356229,0.4855639593643772
