Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,19.1,4,"0,4",0.2985516642623448,0.7014483357376552
2,10.57,8,"2,0",0.3889648143963708,0.6110351856036292
3,17.01,12,"3,4",0.2656785615402641,0.7343214384597359
4,21.14,16,"1,0",0.2476484861471486,0.7523515138528514
5,10.100000000000001,20,"5,3",0.1679980481805562,0.8320019518194438
6,19.49,24,"4,0",0.39132137318124416,0.6086786268187558
7,16.7,28,"2,1",0.3684071881230832,0.6315928118769167
8,20.19,32,"3,4",0.31447681373935205,0.685523186260648
9,25.19,36,"1,0",0.3278016876550581,0.6721983123449419
10,15.02,40,"3,2",0.3263236978432787,0.6736763021567214
11,18.69,44,"5,1",0.3549352632569552,0.6450647367430449
12,22.43,48,"4,3",0.3215428899862381,0.6784571100137619
13,24.709999999999997,52,"0,2",0.3487311533290825,0.6512688466709174
14,32.58,56,"1,3",0.32502562356195297,0.674974376438047
15,27.97,60,"5,4",0.29910978086878315,0.7008902191312169
16,22.75,64,"3,2",0.3569134555294493,0.6430865444705507
17,21.54,68,"5,1",0.30969669559822977,0.6903033044017702
18,31.430000000000003,72,"3,0",0.31714625742773256,0.6828537425722674
19,34.760000000000005,76,"2,4",0.2686930140987783,0.7313069859012217
20,24.97,80,"5,3",0.44839880026091594,0.5516011997390841
21,31.569999999999997,84,"2,1",0.3314625376735805,0.6685374623264195
22,32.99,88,"4,3",0.4178778461989857,0.5821221538010143
23,24.169999999999998,92,"5,2",0.35179163740481956,0.6482083625951804
24,34.72,96,"3,0",0.2760618722020127,0.7239381277979873
25,29.270000000000003,100,"5,1",0.3229359771636065,0.6770640228363934
26,33.95,104,"2,3",0.2893127550334834,0.7106872449665166
27,30.380000000000003,108,"5,4",0.3216347794686502,0.6783652205313498
28,32.519999999999996,112,"3,2",0.43380731632450353,0.5661926836754965
29,25.4,116,"5,0",0.3062088947986397,0.6937911052013603
30,32.190000000000005,120,"3,4",0.3739797829631451,0.626020217036855
