Round,LoRA_Accuracy,LoRA_Comm,LoRA_Loss,LoRA_SelectedClients,LoRA_TFLOPs,Original_Accuracy,Original_Comm,Original_Loss,Original_SelectedClients,Original_TFLOPs
1,17.86,4,2.871243153898099,"[7, 3]",0.001046864576522285,11.96,4.0,2.876507508488128,"[9, 3]",0.0038603131259259
2,13.120000000000001,4,2.961070924521254,"[9, 0]",0.000837176340562249,13.58,4.0,3.441854009232201,"[0, 5]",0.0040281528270531
3,18.14,6,3.7863749391354693,"[9, 1]",0.0012128401966545455,9.8,6.0,3.9544279232573585,"[2, 0]",0.0044234887809018
4,9.82,4,3.357912113110478,"[4, 6]",0.0012343858404145077,17.97,4.0,3.5552243714134533,"[7, 6]",0.0039424474477541
5,20.43,8,4.0819597419458455,"[1, 0]",0.000828442757277695,11.48,6.0,3.697893214301941,"[9, 1]",0.0046195436853185
6,13.639999999999999,8,4.359817651894907,"[1, 5]",0.001461573418404908,17.380000000000003,10.0,3.9669691777457823,"[0, 6]",0.0045193909766937
7,15.409999999999998,12,5.011778607536048,"[5, 1]",0.0012380514256867111,19.36,6.0,3.221346571803474,"[4, 3]",0.0029673581323843
8,9.879999999999999,10,4.463396949889941,"[9, 4]",0.001262418826949281,17.24,14.0,3.788719235898588,"[6, 0]",0.003816144783524
9,16.0,14,3.6935674153958646,"[1, 3]",0.0014049328310025274,15.17,12.0,3.7956307551350457,"[9, 3]",0.0038963908186915
10,20.41,18,4.5990378803338485,"[4, 1]",0.0010601749970756515,18.21,12.0,3.90566698278482,"[6, 7]",0.0029257110007017
11,19.21,18,4.297185350149965,"[1, 6]",0.001262418826949281,19.4,16.0,5.022245835953246,"[7, 6]",0.0037475399334831
12,23.54,6,2.8982123300290334,"[7, 2]",0.0012190462502923976,16.32,20.0,4.812532586411546,"[6, 9]",0.0032318900589147
13,11.99,12,3.632144394012305,"[5, 3]",0.001197168176884422,19.25,14.0,3.846802593420108,"[0, 4]",0.0037224448
14,13.15,12,4.1446850772102035,"[2, 3]",0.0011044074638410597,21.44,14.0,3.6570802138636287,"[2, 9]",0.0034313894452674
15,18.73,12,4.040597206487442,"[2, 0]",0.0012998092520654717,13.83,8.0,3.5029673203111837,"[5, 1]",0.0030376234433515
16,12.07,16,3.9117191477705497,"[9, 0]",0.00148897792,11.16,10.0,2.8473805215792916,"[8, 7]",0.0038873083226107
17,21.46,16,3.8474376567255573,"[7, 9]",0.0012454482975354743,18.08,20.0,3.1568883181380007,"[2, 6]",0.0033088398222222
18,14.000000000000002,14,3.0745226834147883,"[8, 9]",0.0013162235756906076,17.01,16.0,3.213932559132195,"[3, 2]",0.0028409800177172
19,19.220000000000002,16,3.104367349856197,"[3, 6]",0.001410875863282572,19.55,18.0,2.8506066700140127,"[4, 0]",0.002816985254054
20,19.439999999999998,26,3.346090492729943,"[3, 9]",0.0012226211659824046,19.57,16.0,3.4413177304374525,"[7, 5]",0.0043770479538057
21,22.689999999999998,32,3.242914461861022,"[9, 1]",0.0012917546633617351,18.11,20.0,4.6628409605056715,"[7, 5]",0.003459865706224
22,18.38,16,3.2297661053106044,"[5, 2]",0.0011329179826086956,13.85,14.0,3.188659389178974,"[8, 3]",0.0036732494942731
23,22.939999999999998,26,2.6573520422743533,"[4, 1]",0.001262418826949281,20.1,22.0,3.042940020180358,"[4, 0]",0.0029673581323843
24,27.839999999999996,26,2.8189587897766892,"[7, 9]",0.0011694637239831698,25.629999999999995,24.0,3.1995989423209488,"[7, 2]",0.0038963908186915
25,21.51,24,3.012731299232751,"[3, 7]",0.0013394821448995983,24.75,22.0,3.3728191684991025,"[4, 3]",0.0028952348444444
26,23.77,22,3.132403909588774,"[4, 7]",0.0012701106400609292,14.37,26.0,3.159789091481949,"[5, 0]",0.0035256982460887
27,19.62,30,3.8115211431972518,"[3, 7]",0.0011760615447108603,17.72,28.0,3.3684493954570147,"[4, 6]",0.0028802336276338
28,18.029999999999998,28,3.3378950422183395,"[2, 3]",0.001197168176884422,25.180000000000003,32.0,3.183650064773072,"[3, 0]",0.0046195436853185
29,19.99,28,2.852176076687944,"[9, 6]",0.001451397102175805,25.36,34.0,3.8336305686841,"[3, 6]",0.002860472161921
30,16.439999999999998,20,3.492527974680209,"[5, 6]",0.0014784177929078014,27.6,26.0,3.371781041446966,"[2, 4]",0.0044589713112299
31,18.52,24,3.5574785566177614,"[4, 6]",0.001107340816998672,24.88,18.0,2.396754439265583,"[9, 8]",0.0035786593785407
32,19.27,34,3.355877291280241,"[2, 9]",0.00123897122615156,21.98,32.0,3.0468444001560395,"[3, 2]",0.0037141542770601
33,10.79,28,2.887970024023574,"[9, 8]",0.001227119404267844,32.37,36.0,2.4929171553054177,"[6, 7]",0.0032381655735922
34,24.310000000000002,36,2.2221762280875503,"[7, 1]",0.0015064636588979223,20.96,30.0,3.1458253045432483,"[5, 7]",0.0036491362590809
35,15.67,32,2.7764795565376645,"[3, 5]",0.0015119268090661832,21.6,30.0,2.8556026806846595,"[9, 2]",0.0037141542770601
36,24.44,40,2.744446926985305,"[9, 4]",0.0012154921795918367,27.27,42.0,2.481460806279898,"[0, 6]",0.0031764862293333
37,30.28,26,2.6133454790511452,"[0, 4]",0.0015051040346570398,21.65,38.0,3.379125516635541,"[6, 5]",0.0038248974091743
38,26.619999999999997,40,2.7463048456575923,"[7, 3]",0.0015119268090661832,26.76,34.0,2.6672207962590666,"[4, 2]",0.0034313894452674
39,29.270000000000003,38,2.7930912042197327,"[6, 3]",0.0013048945777777777,29.2,38.0,2.8194924516799733,"[4, 7]",0.0037141542770601
