Round,Accuracy,Total communication counts,Selected Clients
217,96.78999999999999,4,"7,8"
218,96.99,4,"7,8"
219,96.96000000000001,4,"7,8"
220,97.00999999999999,4,"1,3"
221,97.08,4,"1,3"
222,97.0,4,"1,3"
223,97.05,4,"6,5"
224,97.04,4,"6,5"
225,96.92,4,"6,5"
226,96.84,4,"0,9"
227,96.85000000000001,4,"0,9"
228,96.81,4,"0,9"
229,97.14,4,"4,5"
230,97.09,4,"4,5"
231,96.99,4,"4,5"
232,96.95,4,"8,0"
233,96.87,4,"8,0"
234,97.1,4,"8,0"
235,97.17,4,"6,4"
236,97.05,4,"6,4"
237,97.0,4,"6,4"
238,96.98,4,"9,1"
239,96.88,4,"9,1"
240,96.83,4,"9,1"
241,97.21,4,"7,5"
242,97.2,4,"7,5"
243,97.2,4,"7,5"
244,96.89,4,"2,0"
245,96.95,4,"2,0"
246,96.98,4,"2,0"
247,97.16,4,"6,8"
248,97.22,4,"6,8"
249,97.16,4,"6,8"
250,97.21,4,"3,1"
251,97.19,4,"3,1"
252,97.11,4,"3,1"
253,96.87,4,"7,8"
254,96.97,4,"7,8"
255,96.99,4,"7,8"
256,97.16,4,"3,2"
257,97.06,4,"3,2"
258,97.14,4,"3,2"
259,97.27,4,"6,7"
260,97.25,4,"6,7"
261,97.21,4,"6,7"
262,97.15,4,"0,1"
263,96.98,4,"0,1"
264,96.97,4,"0,1"
265,97.24000000000001,4,"4,5"
266,97.14,4,"4,5"
267,97.22,4,"4,5"
268,97.1,4,"9,8"
269,97.03,4,"9,8"
270,96.99,4,"9,8"
271,97.25,4,"3,4"
272,97.16,4,"3,4"
273,97.24000000000001,4,"3,4"
274,96.99,4,"9,0"
275,97.0,4,"9,0"
276,96.94,4,"9,0"
277,97.2,4,"6,5"
278,97.15,4,"6,5"
279,97.11999999999999,4,"6,5"
280,97.08,4,"2,0"
281,97.03,4,"2,0"
282,97.04,4,"2,0"
283,97.23,4,"6,7"
284,97.17,4,"6,7"
285,97.18,4,"6,7"
286,97.16,4,"1,3"
287,97.14,4,"1,3"
288,97.23,4,"1,3"
289,97.09,4,"8,7"
290,97.07000000000001,4,"8,7"
291,97.05,4,"8,7"
292,97.22,4,"2,3"
293,97.19,4,"2,3"
294,97.28,4,"2,3"
295,97.35000000000001,4,"8,6"
296,97.36,4,"8,6"
297,97.28999999999999,4,"8,6"
298,96.98,4,"2,1"
299,97.03,4,"2,1"
300,97.07000000000001,4,"2,1"
