Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,19.08,4,"4,0",0.4053140779786952,0.5946859220213048
2,19.33,8,"4,0",0.6591620057910823,0.3408379942089177
3,19.43,12,"4,0",0.5997721426163941,0.40022785738360594
4,19.509999999999998,16,"4,0",0.624373748357998,0.3756262516420021
5,19.52,20,"4,0",0.5515053707407911,0.44849462925920897
6,19.53,24,"4,0",0.5486814216936565,0.4513185783063434
7,20.86,28,"3,0",0.509817851422395,0.490182148577605
8,19.54,32,"0,4",0.6049360600210988,0.3950639399789012
9,20.96,36,"5,4",0.5029084397194669,0.49709156028053314
10,31.19,40,"9,8",0.39180953082787323,0.6081904691721267
