Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Parameter Usage,FLOPs
1,15.86,4,"4,9",0.4512958098530009,0.5487041901469991,2.08,55360,2810100000
2,13.669999999999998,8,"6,8",0.4418054251961377,0.5581945748038623,4.17,110720,5620200000
3,20.07,12,"2,1",0.4509353517392252,0.5490646482607747,6.25,166080,8430300000
4,17.05,16,"6,4",0.3869966946394041,0.6130033053605959,8.34,221440,11240400000
5,11.600000000000001,20,"7,2",0.5118666802953886,0.4881333197046114,10.4,276800,14050500000
6,10.32,24,"2,8",0.6403937277325893,0.3596062722674107,12.47,332160,16860600000
7,12.43,28,"6,3",0.39397686183695424,0.6060231381630458,14.55,387520,19670700000
8,16.38,32,"3,4",0.30672600745141504,0.693273992548585,16.63,442880,22480800000
9,9.82,36,"4,9",0.37027109502879435,0.6297289049712056,18.71,498240,25290900000
10,11.23,40,"6,5",0.4490609728129277,0.5509390271870723,20.77,553600,28101000000
11,20.0,44,"8,1",0.2431944638049246,0.7568055361950754,22.87,608960,30911100000
12,10.34,48,"8,0",0.40941574956647836,0.5905842504335217,24.95,664320,33721200000
13,14.63,52,"9,7",0.2941749700342559,0.705825029965744,27.02,719680,36531300000
14,11.08,56,"0,2",0.48252696430699865,0.5174730356930013,29.09,775040,39341400000
15,17.29,60,"3,8",0.2981106655174885,0.7018893344825116,31.16,830400,42151500000
16,20.43,64,"3,1",0.32253901104053,0.67746098895947,33.21,885760,44961600000
17,11.469999999999999,68,"5,3",0.34237404359748763,0.6576259564025123,35.3,941120,47771700000
18,17.75,72,"3,7",0.4901659126838336,0.5098340873161664,37.36,996480,50581800000
19,18.95,76,"0,4",0.4776389494426557,0.5223610505573443,39.45,1051840,53391900000
20,19.23,80,"3,7",0.3586552843371848,0.6413447156628151,41.55,1107200,56202000000
21,11.469999999999999,84,"5,2",0.5471473128569941,0.45285268714300586,43.63,1162560,59012100000
22,19.08,88,"7,3",0.3534153787057102,0.6465846212942897,45.7,1217920,61822200000
23,22.34,92,"6,8",0.4268181711762965,0.5731818288237035,47.79,1273280,64632300000
24,18.65,96,"3,2",0.4587154150985076,0.5412845849014923,49.88,1328640,67442400000
25,15.21,100,"2,9",0.37299309099597494,0.627006909004025,51.94,1384000,70252500000
26,14.71,104,"3,5",0.38103922406171975,0.6189607759382802,54.03,1439360,73062600000
27,16.64,108,"9,4",0.5014261697283535,0.4985738302716465,56.1,1494720,75872700000
28,18.9,112,"5,1",0.5312802739466633,0.4687197260533367,58.17,1550080,78682800000
29,19.75,116,"4,3",0.2307348024700268,0.7692651975299731,60.26,1605440,81492900000
30,30.73,120,"6,7",0.4324995377845396,0.5675004622154605,62.35,1660800,84303000000
31,23.73,124,"0,8",0.29474728555998825,0.7052527144400118,64.43,1716160,87113100000
32,26.3,128,"1,3",0.42146342441643764,0.5785365755835624,66.51,1771520,89923200000
33,16.16,132,"5,3",0.4929702187581412,0.5070297812418588,68.61,1826880,92733300000
34,34.71,136,"4,9",0.3938992004296848,0.6061007995703152,70.68,1882240,95543400000
35,26.36,140,"6,4",0.44112118185509336,0.5588788181449067,72.75,1937600,98353500000
36,20.41,144,"0,6",0.44309506615779,0.55690493384221,74.9,1992960,101163600000
37,17.39,148,"9,5",0.5664248735586604,0.43357512644133955,76.98,2048320,103973700000
38,23.57,152,"1,9",0.4458525491680591,0.5541474508319408,79.08,2103680,106783800000
39,21.94,156,"5,4",0.49293862725489507,0.5070613727451049,81.17,2159040,109593900000
40,24.11,160,"4,3",0.6957022766955979,0.30429772330440213,83.25,2214400,112404000000
41,35.260000000000005,164,"4,9",0.5257110365062816,0.4742889634937184,85.34,2269760,115214100000
42,11.28,168,"5,8",0.6605029580089691,0.3394970419910309,87.42,2325120,118024200000
43,20.78,172,"7,9",0.6232093262404199,0.3767906737595801,89.5,2380480,120834300000
44,34.46,176,"0,3",0.59949080955874,0.40050919044126,91.57,2435840,123644400000
45,21.61,180,"5,1",0.5271785184670666,0.47282148153293335,93.66,2491200,126454500000
46,30.61,184,"7,0",0.4847954774583152,0.5152045225416848,95.73,2546560,129264600000
47,30.259999999999998,188,"9,1",0.38350362759661644,0.6164963724033836,97.82,2601920,132074700000
48,30.79,192,"0,7",0.361890997234138,0.638109002765862,99.89,2657280,134884800000
49,30.15,196,"9,0",0.34601071058175675,0.6539892894182432,101.96,2712640,137694900000
50,36.3,200,"1,8",0.3086335204219118,0.6913664795780883,104.06,2768000,140505000000
51,31.15,204,"1,4",0.4679266139661215,0.5320733860338784,106.17,2823360,143315100000
