Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
65,49.85,260,"6,8",0.337318261,0.662681739,14.86,260,"5,6",0.284075837,0.715924163
66,18.05,264,"3,7",0.305393053,0.694606947,26.65,264,"4,0",0.49080577,0.50919423
67,38.96,268,"4,0",0.496044779,0.503955221,33.4,268,"9,8",0.082636484,0.917363516
68,14.41,272,"5,9",0.33405372,0.66594628,37.08,272,"3,5",0.402694743,0.597305257
69,37.96,276,"1,4",0.538252191,0.461747809,30.6,276,"9,1",0.214330952,0.785669048
70,37.27,280,"0,4",0.648566812,0.351433188,27.78,280,"3,8",0.493527292,0.506472708
71,39.75,284,"3,0",0.490903615,0.509096385,36.71,284,"9,1",0.331874075,0.668125925
72,39.75,288,"3,1",0.656392318,0.343607682,38.55,288,"4,9",0.574383285,0.425616715
73,18.09,292,"8,2",0.381609601,0.618390399,43.4,292,"9,6",0.167669575,0.832330425
74,40.27,296,"0,4",0.613309085,0.386690915,38.9,296,"6,4",0.138224785,0.861775215
75,43.56,300,"3,2",0.566267862,0.433732138,46.82,300,"6,9",0.107629234,0.892370766
76,30.97,304,"0,2",0.509809638,0.490190362,39.29,304,"4,5",0.34764499,0.65235501
77,43.75,308,"1,4",0.606337518,0.393662482,28.79,308,"6,3",0.324073312,0.675926688
78,44.35,312,"2,5",0.460122661,0.539877339,49.64,312,"6,9",0.154799626,0.845200374
79,44.8,316,"0,4",0.530617301,0.469382699,11.65,316,"6,5",0.052322481,0.947677519
80,41.05,320,"0,5",0.598514665,0.401485335,27.62,320,"9,4",0.388517386,0.611482614
81,43,324,"1,3",0.473524579,0.526475421,42.93,324,"6,7",0.25238317,0.74761683
82,44.25,328,"2,5",0.444590918,0.555409082,14,328,"5,7",0.212703686,0.787296314
83,45,332,"4,3",0.577462848,0.422537152,46.28,332,"0,1",0.473950281,0.526049719
84,46.05,336,"2,1",0.578021603,0.421978397,49.38,336,"6,7",0.191798216,0.808201784
85,40.36,340,"2,0",0.643703245,0.356296755,43.47,340,"6,4",0.141180051,0.858819949
86,46.14,344,"4,1",0.610466109,0.389533891,50.24,344,"6,9",0.13924555,0.86075445
87,46.82,348,"3,5",0.504861388,0.495138612,39.95,348,"2,5",0.255387794,0.744612206
88,39.86,352,"0,6",0.478476107,0.521523893,47.42,352,"9,6",0.223263644,0.776736356
89,21.82,356,"7,2",0.412288633,0.587711367,36.44,356,"5,4",0.168255692,0.831744308
90,48.27,360,"1,4",0.494541019,0.505458981,41.52,360,"6,0",0.225573511,0.774426489
91,47.9,364,"5,3",0.427463203,0.572536797,33.79,364,"5,2",0.194125833,0.805874167
92,24.02,368,"2,8",0.463383279,0.536616721,50.06,368,"9,6",0.214146721,0.785853279
93,44.34,372,"3,4",0.613556822,0.386443178,35.48,372,"3,8",0.296052457,0.703947543
94,22.82,376,"6,2",0.404608107,0.595391893,47.18,376,"6,1",0.115272898,0.884727102
95,48.96,380,"1,0",0.622075887,0.377924113,22.98,380,"8,5",0.374298747,0.625701253
96,45.33,384,"3,2",0.487883234,0.512116766,35.08,384,"9,4",0.329173716,0.670826284
97,50.19,388,"5,4",0.503866727,0.496133273,52.17,388,"6,9",0.129323236,0.870676764
98,42.17,392,"2,5",0.50461162,0.49538838,41.63,392,"7,3",0.182451076,0.817548924
99,46.49,396,"3,4",0.593665867,0.406334133,56.17,396,"6,8",0.132407402,0.867592598
100,27.05,400,"8,5",0.434790853,0.565209147,16.57,400,"5,8",0.274644953,0.725355047
101,43.42,404,"0,2",0.499455203,0.500544797,42.13,404,"9,0",0.373024329,0.626975671
102,45.52,408,"4,5",0.566540797,0.433459203,44.98,408,"8,6",0.148289526,0.851710474
103,49.13,412,"3,1",0.483171226,0.516828774,43.01,412,"9,4",0.258774577,0.741225423
104,52.25,416,"8,9",0.321511441,0.678488559,42,416,"8,6",0.142460037,0.857539963
105,24.82,420,"2,7",0.34581881,0.65418119,49.77,420,"9,1",0.162601611,0.837398389
106,51.76,424,"0,1",0.466208649,0.533791351,52.15,424,"9,6",0.114940583,0.885059417
107,47.07,428,"5,3",0.385279126,0.614720874,29.93,428,"5,7",0.169440097,0.830559903
108,40.38,432,"0,5",0.516302121,0.483697879,48.62,432,"9,6",0.261223331,0.738776669
109,52.76,436,"2,4",0.432676195,0.567323805,44.28,436,"7,3",0.154298585,0.845701415
110,48.48,440,"1,3",0.510128918,0.489871082,59.62,440,"7,8",0.194435267,0.805564733
111,33.13,444,"2,9",0.38505545,0.61494455,21.45,444,"8,5",0.170631279,0.829368721
112,30.33,448,"5,7",0.472499667,0.527500333,51.41,448,"9,6",0.314294562,0.685705438
113,47.48,452,"1,0",0.481611291,0.518388709,48.41,452,"7,4",0.227177966,0.772822034
114,43.2,456,"5,2",0.589656841,0.410343159,55.91,456,"9,6",0.203153372,0.796846628
115,47.53,460,"8,4",0.29923301,0.70076699,56.41,460,"7,8",0.192927473,0.807072527
116,48.71,464,"3,0",0.524360921,0.475639079,23.99,464,"9,5",0.273603716,0.726396284
117,55.25,468,"8,6",0.257971691,0.742028309,45.87,468,"6,9",0.437942897,0.562057103
118,46.98,472,"3,2",0.308180424,0.691819576,44.07,472,"7,4",0.240382513,0.759617487
119,49.18,476,"4,0",0.521201944,0.478798056,51.58,476,"6,9",0.206014508,0.793985492
120,46.01,480,"2,4",0.491707358,0.508292642,19.66,480,"7,2",0.242085054,0.757914946
121,32.63,484,"7,5",0.384334305,0.615665695,29.87,484,"4,2",0.601466166,0.398533834
122,50.47,488,"0,1",0.601788712,0.398211288,62.9,488,"0,1",0.532585675,0.467414325
123,37.45,492,"3,9",0.377384189,0.622615811,61.06,492,"9,7",0.097583954,0.902416046
124,51.04,496,"2,4",0.500528795,0.499471205,22.31,496,"2,9",0.25077303,0.74922697
125,57.23,500,"7,9",0.342979068,0.657020932,41.94,500,"4,9",0.429794981,0.570205019
126,27.72,504,"6,5",0.353880638,0.646119362,54.96,504,"9,7",0.131079391,0.868920609
127,50.69,508,"4,3",0.478002202,0.521997798,44.63,508,"7,3",0.193864153,0.806135847
128,55.33,512,"1,0",0.475232374,0.524767626,55.05,512,"7,1",0.140957949,0.859042051
129,37.43,516,"8,2",0.364756333,0.635243667,55.74,516,"6,7",0.116555694,0.883444306
130,51.46,520,"5,4",0.514563681,0.485436319,57.06,520,"2,5",0.178085669,0.821914331
131,36.53,524,"3,6",0.438097682,0.561902318,60.61,524,"6,7",0.161613691,0.838386309
132,49.64,528,"2,0",0.453313688,0.546686312,57.02,528,"9,4",0.166090808,0.833909192
