Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
281,52.81,1124,"3,6",0.384784954,0.615215046,75.35,1124,"7,4",0.102241302,0.897758698
282,57.04,1128,"8,4",0.343274958,0.656725042,85.35,1128,"9,6",0.060805132,0.939194868
283,69.92,1132,"7,6",0.316260047,0.683739953,85.32,1132,"8,7",0.091303778,0.908696222
284,67.4,1136,"4,5",0.238795193,0.761204807,84.55,1136,"3,4",0.267701955,0.732298045
285,53.79,1140,"8,2",0.356229015,0.643770985,83.93,1140,"8,9",0.047871196,0.952128804
286,63.19,1144,"4,3",0.482046474,0.517953526,80.68,1144,"5,4",0.218092826,0.781907174
287,56.36,1148,"6,5",0.40754415,0.59245585,80.54,1148,"9,8",0.060969281,0.939030719
288,67.81,1152,"0,1",0.445690903,0.554309097,64.97,1152,"7,2",0.080136507,0.919863493
289,59.82,1156,"3,8",0.375290701,0.624709299,82.73,1156,"1,6",0.194301057,0.805698943
290,55.12,1160,"8,2",0.435182862,0.564817138,73.26,1160,"8,3",0.057404041,0.942595959
291,64.01,1164,"1,0",0.499546504,0.500453496,82.15,1164,"0,1",,
292,57.23,1168,"9,3",0.348197062,0.651802938,80.57,1168,"2,5",0.061121195,0.938878805
293,62.46,1172,"5,2",0.540090542,0.459909458,75.72,1172,"7,4",0.101926681,0.898073319
294,61.23,1176,"4,6",0.359076587,0.640923413,84.39,1176,"9,7",0.055529782,0.944470218
295,63.82,1180,"9,6",0.29367129,0.70632871,77.08,1180,"4,6",0.212138067,0.787861933
296,63.48,1184,"4,2",0.419289882,0.580710118,84.4,1184,"9,7",0.059868436,0.940131564
297,56.83,1188,"6,5",0.409942207,0.590057793,68.48,1188,"8,2",0.071534382,0.928465618
298,67.31,1192,"3,0",0.376190761,0.623809239,85.95,1192,"6,8",0.118178214,0.881821786
299,60.26,1196,"2,3",0.426708661,0.573291339,85.77,1196,"4,3",0.205987088,0.794012912
300,55.81,1200,"8,5",0.330934729,0.669065271,84.04,1200,"8,9",0.057919564,0.942080436
