Round,Accuracy_fedGRA,Comm_fedGRA,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y
191,87.22,4,84.14,4,87.9,4
192,86.00999999999999,4,83.91,4,88.53999999999999,4
193,84.73,4,89.34,4,88.17,4
194,87.57000000000001,4,87.53,4,90.10000000000001,4
195,85.5,4,88.46000000000001,4,86.53999999999999,4
196,86.00999999999999,4,84.45,4,89.25,4
197,86.76,4,84.28999999999999,4,88.99000000000001,4
198,87.96000000000001,4,87.6,4,89.19,4
199,86.57000000000001,4,88.97,4,89.28,4
200,86.52,4,88.75999999999999,4,89.56,4
