Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Global Use LoRA,Selection Use LoRA,Training Use LoRA,LoRA Rank,LoRA Alpha
1,20.93,4,"1,0",0.19036088128810902,0.809639118711891,False,False,False,8,0.5
2,21.099999999999998,8,"1,0",0.5966718968979638,0.4033281031020362,False,False,False,8,0.5
3,21.099999999999998,12,"1,0",0.622385010474391,0.37761498952560907,False,False,False,8,0.5
4,21.12,16,"1,0",0.6330493211256508,0.3669506788743491,False,False,False,8,0.5
5,21.12,20,"1,0",0.6409998383099803,0.3590001616900197,False,False,False,8,0.5
6,21.12,24,"1,0",0.5912726778396137,0.4087273221603863,False,False,False,8,0.5
7,9.76,28,"1,8",0.5863704087400302,0.41362959125996973,False,False,False,8,0.5
8,21.12,32,"1,0",0.650376608998331,0.349623391001669,False,False,False,8,0.5
9,38.07,36,"3,4",0.5189880864750718,0.4810119135249283,False,False,False,8,0.5
10,25.21,40,"1,0",0.4734212657640041,0.5265787342359959,False,False,False,8,0.5
11,32.99,44,"9,6",0.4926726072898111,0.5073273927101889,False,False,False,8,0.5
12,32.15,48,"3,4",0.3468655816027025,0.6531344183972975,False,False,False,8,0.5
13,33.89,52,"0,1",0.47881278302960545,0.5211872169703946,False,False,False,8,0.5
14,39.379999999999995,56,"6,3",0.5522515231850129,0.4477484768149871,False,False,False,8,0.5
15,38.29,60,"9,2",0.3689459287188638,0.6310540712811362,False,False,False,8,0.5
16,38.800000000000004,64,"4,3",0.26230564311344334,0.7376943568865567,False,False,False,8,0.5
17,23.549999999999997,68,"6,2",0.3439908106687462,0.6560091893312539,False,False,False,8,0.5
18,38.22,72,"4,9",0.3430647142222679,0.6569352857777321,False,False,False,8,0.5
19,40.050000000000004,76,"6,2",0.3672305104939078,0.6327694895060922,False,False,False,8,0.5
20,44.2,80,"3,1",0.36081697446712646,0.6391830255328735,False,False,False,8,0.5
21,39.65,84,"2,4",0.4713399716942016,0.5286600283057984,False,False,False,8,0.5
22,28.749999999999996,88,"9,0",0.37180528812312524,0.6281947118768748,False,False,False,8,0.5
23,35.13,92,"4,5",0.39237047076582837,0.6076295292341717,False,False,False,8,0.5
24,42.63,96,"3,6",0.49490796232289586,0.5050920376771041,False,False,False,8,0.5
25,29.53,100,"5,9",0.4090000249884767,0.5909999750115232,False,False,False,8,0.5
26,45.92,104,"3,0",0.35735546566424836,0.6426445343357516,False,False,False,8,0.5
27,48.8,108,"4,2",0.547872941084282,0.4521270589157181,False,False,False,8,0.5
28,50.03999999999999,112,"1,9",0.5021660401863768,0.4978339598136233,False,False,False,8,0.5
29,49.769999999999996,116,"4,3",0.47312994246973933,0.5268700575302607,False,False,False,8,0.5
30,53.74,120,"9,6",0.38519775979513715,0.6148022402048628,False,False,False,8,0.5
31,51.55,124,"4,2",0.3935844858662472,0.6064155141337527,False,False,False,8,0.5
32,37.669999999999995,128,"9,3",0.4677050463148764,0.5322949536851236,False,False,False,8,0.5
33,43.5,132,"4,6",0.508546131080003,0.491453868919997,False,False,False,8,0.5
34,46.0,136,"9,2",0.457176399497615,0.542823600502385,False,False,False,8,0.5
35,53.900000000000006,140,"4,6",0.39053074995228154,0.6094692500477185,False,False,False,8,0.5
36,52.92,144,"3,0",0.44254391633137874,0.5574560836686212,False,False,False,8,0.5
37,55.52,148,"2,9",0.35635845357799206,0.643641546422008,False,False,False,8,0.5
38,57.36,152,"7,4",0.3138341871936804,0.6861658128063196,False,False,False,8,0.5
39,39.24,156,"9,7",0.27443746255150536,0.7255625374484946,False,False,False,8,0.5
40,46.67,160,"4,3",0.3681793918612146,0.6318206081387854,False,False,False,8,0.5
41,56.82000000000001,164,"7,9",0.43385231675856684,0.5661476832414332,False,False,False,8,0.5
42,55.13,168,"4,0",0.34296407324564293,0.6570359267543571,False,False,False,8,0.5
43,55.58,172,"7,9",0.4522579318019062,0.5477420681980938,False,False,False,8,0.5
44,56.730000000000004,176,"1,4",0.32539243977999993,0.6746075602200001,False,False,False,8,0.5
45,64.31,180,"9,7",0.5125798617764787,0.48742013822352126,False,False,False,8,0.5
46,62.09,184,"4,3",0.40133396590474935,0.5986660340952507,False,False,False,8,0.5
47,59.47,188,"9,2",0.27577683170809075,0.7242231682919092,False,False,False,8,0.5
48,59.650000000000006,192,"7,4",0.3112293197891218,0.6887706802108782,False,False,False,8,0.5
49,59.29,196,"9,6",0.3324701023844475,0.6675298976155525,False,False,False,8,0.5
50,68.41000000000001,200,"4,7",0.47164210712454474,0.5283578928754552,False,False,False,8,0.5
51,66.36999999999999,204,"9,2",0.32121237003919395,0.6787876299608061,False,False,False,8,0.5
52,67.41,208,"3,4",0.33495049106138003,0.6650495089386199,False,False,False,8,0.5
53,71.44,212,"5,9",0.2921957246596202,0.7078042753403798,False,False,False,8,0.5
54,32.33,216,"5,8",0.2640275695135598,0.7359724304864402,False,False,False,8,0.5
55,58.589999999999996,220,"4,9",0.4803435784175968,0.5196564215824032,False,False,False,8,0.5
56,65.52,224,"8,3",0.28791422526053456,0.7120857747394654,False,False,False,8,0.5
57,52.5,228,"1,8",0.3855067793191738,0.6144932206808262,False,False,False,8,0.5
58,49.0,232,"3,5",0.421602623661737,0.5783973763382629,False,False,False,8,0.5
59,58.57,236,"2,0",0.4026673162255995,0.5973326837744005,False,False,False,8,0.5
60,64.89,240,"5,3",0.3572797602228467,0.6427202397771533,False,False,False,8,0.5
61,40.6,244,"9,5",0.37347474066196945,0.6265252593380306,False,False,False,8,0.5
62,60.589999999999996,248,"3,0",0.3048567256607973,0.6951432743392026,False,False,False,8,0.5
63,62.260000000000005,252,"7,4",0.28105875857268203,0.718941241427318,False,False,False,8,0.5
64,67.43,256,"9,5",0.23588945718703655,0.7641105428129634,False,False,False,8,0.5
65,66.34,260,"6,2",0.19022857704503987,0.8097714229549602,False,False,False,8,0.5
66,68.11,264,"5,4",0.3129601371363756,0.6870398628636244,False,False,False,8,0.5
67,64.28,268,"7,9",0.3848938725101665,0.6151061274898335,False,False,False,8,0.5
68,68.08999999999999,272,"4,3",0.3358716919284566,0.6641283080715433,False,False,False,8,0.5
69,69.56,276,"9,5",0.2746553603019485,0.7253446396980515,False,False,False,8,0.5
