Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s)
1,19.08,4,"4,0",0.4053140779786952,0.5946859220213048,1.28
2,19.33,8,"4,0",0.6591620057910823,0.3408379942089177,2.51
3,19.43,12,"4,0",0.5997721426163941,0.40022785738360594,3.76
4,19.509999999999998,16,"4,0",0.624373748357998,0.3756262516420021,4.99
5,19.52,20,"4,0",0.5515053707407911,0.44849462925920897,6.22
6,19.53,24,"4,0",0.5486814216936565,0.4513185783063434,7.44
7,20.86,28,"3,0",0.509817851422395,0.490182148577605,8.66
8,19.54,32,"0,4",0.6049360600210988,0.3950639399789012,9.88
9,20.96,36,"5,4",0.5029084397194669,0.49709156028053314,11.09
10,31.19,40,"9,8",0.39180953082787323,0.6081904691721267,12.08
11,21.07,44,"1,0",0.48231236405729255,0.5176876359427074,13.36
12,23.3,48,"2,4",0.4351915738404736,0.5648084261595264,14.6
13,15.989999999999998,52,"7,0",0.478374466389925,0.521625533610075,15.72
14,19.53,56,"4,0",0.5967628457901307,0.4032371542098693,16.94
15,10.100000000000001,60,"3,9",0.46283899501788295,0.537161004982117,18.07
16,25.590000000000003,64,"4,0",0.6608628604202673,0.3391371395797327,19.32
17,10.16,68,"9,3",0.3729059104224587,0.6270940895775413,20.49
18,19.470000000000002,72,"0,3",0.7360567989773631,0.26394320102263685,21.75
19,26.779999999999998,76,"4,3",0.5831056818141935,0.4168943181858064,23.01
20,21.12,80,"5,0",0.514731837636835,0.4852681623631649,24.27
21,22.95,84,"5,4",0.4679100100061615,0.5320899899938385,25.61
22,18.68,88,"0,8",0.4938873361771813,0.5061126638228187,26.8
23,14.12,92,"8,3",0.35575598691657806,0.6442440130834219,28.03
24,28.37,96,"4,0",0.6317684651958062,0.3682315348041938,29.39
25,18.65,100,"9,3",0.31936573309802285,0.6806342669019771,30.6
26,28.59,104,"4,0",0.720839491683475,0.27916050831652495,31.88
27,21.57,108,"9,3",0.3582340064058905,0.6417659935941096,33.02
28,28.77,112,"0,4",0.7480679292894783,0.2519320707105217,34.29
29,26.87,116,"9,6",0.16455619253676299,0.835443807463237,35.3
30,25.31,120,"4,7",0.4486687554034233,0.5513312445965767,36.45
31,24.11,124,"6,8",0.30143234773674366,0.6985676522632563,37.45
32,26.25,128,"4,2",0.379360767218286,0.6206392327817141,38.65
33,10.33,132,"9,2",0.339688795976972,0.660311204023028,39.74
34,19.31,136,"2,0",0.6909475779249854,0.30905242207501454,40.94
35,27.900000000000002,140,"4,2",0.5227548003857274,0.4772451996142726,42.13
36,24.13,144,"9,3",0.23603363290000826,0.7639663670999918,43.24
37,29.03,148,"4,0",0.6152683420174704,0.3847316579825296,44.48
38,23.66,152,"9,1",0.10077509744696833,0.8992249025530317,45.62
39,30.75,156,"4,0",0.5602976253221019,0.43970237467789813,46.84
40,26.1,160,"9,3",0.141067785140673,0.858932214859327,47.95
41,31.5,164,"8,9",0.35215310947114936,0.6478468905288506,48.95
42,30.130000000000003,168,"7,4",0.37482421031121943,0.6251757896887805,50.07
43,33.26,172,"8,9",0.18609125511512695,0.8139087448848731,51.07
44,26.979999999999997,176,"5,4",0.37517090083390714,0.6248290991660929,52.29
45,25.06,180,"9,7",0.10192816964671948,0.8980718303532805,53.29
46,30.380000000000003,184,"4,3",0.3540229667280209,0.6459770332719791,54.53
47,33.379999999999995,188,"9,8",0.2538710199427761,0.7461289800572238,55.51
48,25.52,192,"8,4",0.058249799779091525,0.9417502002209085,56.63
49,31.4,196,"9,8",0.2734906766764519,0.7265093233235481,57.62
50,29.98,200,"2,4",0.3294826194239407,0.6705173805760594,58.83
51,28.57,204,"9,7",0.135321198237147,0.864678801762853,59.82
52,31.790000000000003,208,"4,3",0.2882354813594677,0.7117645186405324,61.04
53,33.1,212,"9,8",0.3067931563109571,0.6932068436890428,62.02
54,23.189999999999998,216,"0,5",0.3348213816106269,0.6651786183893731,63.23
55,27.82,220,"9,4",0.23166157397263648,0.7683384260273636,64.34
56,12.120000000000001,224,"9,5",0.14088858334544638,0.8591114166545536,65.43
57,24.67,228,"4,0",0.7359616872993349,0.2640383127006651,66.66
58,14.95,232,"9,5",0.12775545830048454,0.8722445416995155,67.75
59,25.83,236,"0,4",0.6909178662907555,0.3090821337092446,68.99
60,29.080000000000002,240,"9,1",0.11979278679478028,0.8802072132052197,70.12
61,40.06,244,"3,4",0.4421852732035039,0.557814726796496,71.35
62,16.869999999999997,248,"9,5",0.1411754870998998,0.8588245129001002,72.44
63,27.1,252,"4,0",0.7012670364297622,0.29873296357023776,73.68
64,39.95,256,"9,8",0.09074679257642489,0.9092532074235751,74.67
65,14.860000000000001,260,"5,6",0.2840758371588966,0.7159241628411034,75.75
66,26.650000000000002,264,"4,0",0.4908057702553568,0.5091942297446432,77.0
67,33.4,268,"9,8",0.08263648395680004,0.9173635160432,77.99
68,37.08,272,"3,5",0.4026947425184991,0.5973052574815009,79.2
69,30.599999999999998,276,"9,1",0.2143309524147451,0.7856690475852549,80.33
70,27.779999999999998,280,"3,8",0.4935272919169504,0.5064727080830497,81.43
71,36.71,284,"9,1",0.33187407548329934,0.6681259245167007,82.57
72,38.550000000000004,288,"4,9",0.5743832852353119,0.4256167147646881,83.66
73,43.4,292,"9,6",0.16766957538717528,0.8323304246128247,84.64
74,38.9,296,"6,4",0.138224785307436,0.861775214692564,85.76
75,46.82,300,"6,9",0.10762923410126804,0.892370765898732,86.74
76,39.290000000000006,304,"4,5",0.34764499007482136,0.6523550099251786,87.96
77,28.79,308,"6,3",0.32407331163623077,0.6759266883637692,89.06
78,49.64,312,"6,9",0.15479962576373613,0.8452003742362638,90.07
79,11.65,316,"6,5",0.05232248135162957,0.9476775186483705,91.16
80,27.62,320,"9,4",0.38851738627154586,0.6114826137284541,92.34
81,42.93,324,"6,7",0.2523831696558606,0.7476168303441394,93.38
82,14.000000000000002,328,"5,7",0.2127036855304782,0.7872963144695219,94.47
83,46.28,332,"0,1",0.47395028128781347,0.5260497187121865,95.73
84,49.38,336,"6,7",0.19179821595807967,0.8082017840419203,96.73
85,43.47,340,"6,4",0.1411800508057623,0.8588199491942378,97.88
86,50.239999999999995,344,"6,9",0.13924554981865078,0.8607544501813492,98.87
87,39.95,348,"2,5",0.2553877937152338,0.7446122062847662,100.04
88,47.42,352,"9,6",0.22326364383908573,0.7767363561609143,101.06
89,36.44,356,"5,4",0.16825569220519507,0.8317443077948049,102.33
90,41.52,360,"6,0",0.22557351092305267,0.7744264890769473,103.49
91,33.79,364,"5,2",0.1941258331647666,0.8058741668352334,104.68
92,50.06,368,"9,6",0.2141467205112184,0.7858532794887816,105.7
93,35.480000000000004,372,"3,8",0.2960524565493626,0.7039475434506374,106.82
94,47.18,376,"6,1",0.11527289773550298,0.884727102264497,108.01
95,22.98,380,"8,5",0.37429874666157886,0.6257012533384211,109.12
96,35.08,384,"9,4",0.3291737155764359,0.6708262844235641,110.27
97,52.17,388,"6,9",0.1293232361691244,0.8706767638308756,111.28
98,41.63,392,"7,3",0.18245107591265056,0.8175489240873495,112.5
99,56.169999999999995,396,"6,8",0.13240740230179002,0.86759259769821,113.86
100,16.57,400,"5,8",0.27464495322888033,0.7253550467711196,114.96
101,42.13,404,"9,0",0.37302432861517093,0.6269756713848291,116.15
102,44.98,408,"8,6",0.14828952625052289,0.8517104737494772,117.14
103,43.01,412,"9,4",0.2587745769614626,0.7412254230385374,118.71
104,42.0,416,"8,6",0.14246003741313312,0.8575399625868669,119.71
105,49.769999999999996,420,"9,1",0.16260161056022515,0.8373983894397748,120.83
106,52.15,424,"9,6",0.11494058271657466,0.8850594172834253,121.83
107,29.93,428,"5,7",0.16944009705151408,0.8305599029484859,122.92
108,48.620000000000005,432,"9,6",0.26122333056470987,0.7387766694352901,123.9
109,44.28,436,"7,3",0.15429858527435233,0.8457014147256476,124.99
110,59.62,440,"7,8",0.19443526728237026,0.8055647327176297,126.0
111,21.45,444,"8,5",0.17063127897375116,0.8293687210262488,127.11
112,51.41,448,"9,6",0.3142945616606198,0.6857054383393802,128.16
113,48.41,452,"7,4",0.22717796572735582,0.7728220342726442,129.27
114,55.910000000000004,456,"9,6",0.20315337201032685,0.7968466279896731,130.26
115,56.410000000000004,460,"7,8",0.19292747270246663,0.8070725272975333,131.27
116,23.990000000000002,464,"9,5",0.27360371594296573,0.7263962840570343,132.39
117,45.87,468,"6,9",0.4379428968852839,0.5620571031147161,133.39
118,44.07,472,"7,4",0.24038251280901413,0.7596174871909859,134.52
119,51.580000000000005,476,"6,9",0.20601450757244674,0.7939854924275532,135.58
120,19.66,480,"7,2",0.24208505414191003,0.7579149458580899,136.71
121,29.87,484,"4,2",0.6014661662834972,0.3985338337165027,137.97
122,62.9,488,"0,1",0.5325856749558632,0.46741432504413677,139.27
123,61.06,492,"9,7",0.09758395385705158,0.9024160461429485,140.35
124,22.31,496,"2,9",0.25077303022844577,0.7492269697715542,141.58
125,41.94,500,"4,9",0.4297949806466212,0.5702050193533788,142.76
126,54.96,504,"9,7",0.13107939132096422,0.8689206086790358,143.86
127,44.629999999999995,508,"7,3",0.19386415297516663,0.8061358470248334,145.05
128,55.05,512,"7,1",0.14095794931293462,0.8590420506870654,146.22
129,55.74,516,"6,7",0.11655569410388884,0.8834443058961111,147.22
130,57.06,520,"2,5",0.1780856688395954,0.8219143311604046,148.41
131,60.61,524,"6,7",0.16161369143029353,0.8383863085697064,149.47
132,57.02,528,"9,4",0.16609080782584074,0.8339091921741593,150.6
133,64.19,532,"6,9",0.21350081245693978,0.7864991875430603,151.6
134,25.55,536,"7,2",0.14618041298220233,0.8538195870177977,152.73
135,48.949999999999996,540,"9,4",0.415315013800909,0.5846849861990909,153.84
136,60.81999999999999,544,"6,9",0.1580651736793151,0.841934826320685,154.88
137,51.44,548,"7,3",0.1157488385959032,0.8842511614040968,156.02
138,65.01,552,"8,9",0.16353545525416,0.83646454474584,157.03
139,50.51,556,"5,2",0.18457168654337608,0.8154283134566239,158.24
140,63.970000000000006,560,"6,1",0.07179087404980222,0.9282091259501978,159.4
141,27.889999999999997,564,"2,7",0.19902762395876197,0.800972376041238,160.48
142,51.51,568,"9,4",0.3044241518074653,0.6955758481925347,161.59
143,65.29,572,"9,6",0.16862238366696547,0.8313776163330345,162.6
144,53.23,576,"7,3",0.09797805278669983,0.9020219472133002,163.73
145,71.48,580,"8,7",0.3144098889474304,0.6855901110525696,164.73
146,58.79,584,"8,9",0.11336047280853648,0.8866395271914636,165.73
147,28.18,588,"2,7",0.133638213565178,0.866361786434822,166.82
148,63.629999999999995,592,"6,1",0.3197940705671181,0.6802059294328819,167.98
149,30.31,596,"2,7",0.18587971079081309,0.8141202892091869,169.08
150,61.529999999999994,600,"6,9",0.32905493256020274,0.6709450674397972,170.11
151,30.91,604,"2,7",0.14711708155427844,0.8528829184457215,171.21
152,55.38999999999999,608,"6,0",0.323028861787206,0.676971138212794,172.38
153,41.93,612,"6,5",0.20578928458403423,0.7942107154159658,173.5
154,52.739999999999995,616,"9,0",0.39795921625147535,0.6020407837485247,174.66
155,71.11,620,"8,6",0.2505799314403118,0.7494200685596881,175.67
156,64.17,624,"7,4",0.09469264666073893,0.905307353339261,176.8
157,60.309999999999995,628,"8,6",0.1160893452181259,0.8839106547818741,177.78
158,54.16,632,"7,3",0.15810896144704223,0.8418910385529578,178.9
159,67.7,636,"8,7",0.1902894339973036,0.8097105660026964,179.94
160,39.56,640,"5,8",0.1235899296842504,0.8764100703157496,181.08
161,65.42,644,"9,1",0.3413306065076328,0.6586693934923672,182.28
162,40.72,648,"8,5",0.16276255352435212,0.8372374464756479,183.41
163,63.94,652,"9,0",0.27933451376478663,0.7206654862352133,184.54
164,45.15,656,"6,2",0.3210133934471661,0.6789866065528339,185.67
165,59.489999999999995,660,"6,4",0.24098167280109908,0.7590183271989009,186.81
166,72.05,664,"9,6",0.09138134482378855,0.9086186551762114,187.84
167,60.5,668,"7,3",0.06977082695491545,0.9302291730450846,188.98
168,69.98,672,"9,8",0.2708117981302045,0.7291882018697955,189.98
169,68.33,676,"5,2",0.16330263976958528,0.8366973602304147,191.2
170,77.14,680,"7,8",0.19652984516396466,0.8034701548360353,192.2
171,66.3,684,"9,4",0.0803625708817029,0.919637429118297,193.39
172,78.97,688,"9,6",0.10898443200827485,0.8910155679917251,194.4
173,58.309999999999995,692,"7,3",0.06969969545858315,0.9303003045414169,195.57
174,76.08,696,"5,1",0.2202004560399888,0.7797995439600112,196.91
175,71.16,700,"7,0",0.07306136338511583,0.9269386366148842,198.27
176,71.05,704,"6,7",0.19976856552556668,0.8002314344744333,199.32
177,53.54,708,"9,5",0.09510914012179104,0.9048908598782089,200.44
178,70.61,712,"8,9",0.20634698197117043,0.7936530180288296,201.46
179,64.4,716,"7,4",0.09952417513562012,0.9004758248643799,202.62
180,50.91,720,"9,5",0.13068956075867194,0.869310439241328,203.71
181,60.650000000000006,724,"3,8",0.27225131296684346,0.7277486870331565,204.88
182,67.01,728,"7,1",0.1751967621656893,0.8248032378343108,206.07
183,70.87,732,"5,0",0.10625776681980341,0.8937422331801966,207.29
184,51.49,736,"9,2",0.16468918454845238,0.8353108154515476,208.42
185,62.59,740,"6,4",0.13610315821837574,0.8638968417816243,209.57
186,74.92,744,"9,6",0.1094701094898188,0.8905298905101812,210.62
