Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_A: grc=False, freeze=False",63,37.51,252,"8,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",64,40.39,256,"1,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",65,44.769999999999996,260,"8,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",66,48.49,264,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",67,62.949999999999996,268,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",68,57.330000000000005,272,"5,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",69,61.17,276,"1,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",70,55.98,280,"6,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",71,53.839999999999996,284,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",72,52.300000000000004,288,"8,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",73,63.82,292,"2,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",74,49.35,296,"0,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",75,49.1,300,"6,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",76,44.59,304,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",77,43.9,308,"5,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",78,53.190000000000005,312,"9,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",79,53.71,316,"8,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",80,51.6,320,"1,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",81,50.96000000000001,324,"3,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",82,56.04,328,"5,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",83,64.44,332,"6,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",84,66.75999999999999,336,"0,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",85,59.43000000000001,340,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",86,61.49,344,"3,6",NA,NA,3578880.0
